Data,quantidade_total_vagas_data
23/03/2025,36
15/03/2025,30
04/03/2025,26
10/05/2025,20
30/03/2025,16
17/06/2025,15
21/09/2024,14
24/05/2025,14
18/01/2025,12
24/04/2025,12
10/06/2025,12
19/06/2025,12
29/06/2025,12
05/10/2024,12
09/03/2025,10
26/04/2025,10
20/02/2025,10
03/06/2025,9
05/06/2025,9
14/06/2025,9
26/06/2025,9
21/06/2025,9
04/01/2025,8
30/01/2025,8
06/03/2025,8
15/02/2025,8
27/03/2025,8
13/05/2025,8
12/04/2025,8
05/04/2025,8
08/05/2025,8
17/04/2025,8
03/04/2025,8
22/03/2025,8
24/05/2024,8
31/05/2024,8
31/05/2025,8
13/04/2025,8
11/10/2025,8
24/08/2024,7
08/06/2024,7
27/08/2024,7
07/09/2024,7
17/10/2024,7
25/03/2025,6
16/01/2025,6
08/02/2025,6
06/02/2025,6
27/05/2025,6
15/06/2024,6
29/06/2024,6
21/01/2025,6
12/09/2024,6
14/09/2024,6
30/05/2024,6
13/06/2024,6
30/11/2024,6
12/11/2024,6
12/10/2024,6
28/09/2024,6
26/11/2024,5
21/11/2024,5
07/12/2024,5
22/08/2024,5
29/08/2024,5
24/10/2024,5
06/07/2024,5
18/05/2024,5
24/12/2024,5
14/12/2024,5
05/09/2024,4
01/05/2025,4
19/04/2025,4
17/08/2024,4
21/04/2025,4
25/07/2024,4
15/08/2024,4
20/06/2024,4
20/05/2024,4
03/06/2024,4
16/11/2024,4
05/12/2024,4
10/08/2024,4
09/11/2024,4
13/11/2025,4
15/07/2025,4
12/07/2025,4
18/05/2025,4
22/05/2025,4
18/03/2025,4
11/02/2025,4
08/03/2025,4
25/01/2025,4
23/01/2025,4
07/01/2025,4
14/01/2025,4
28/01/2025,4
04/02/2025,4
13/02/2025,4
22/02/2025,4
06/05/2025,4
29/03/2025,4
20/03/2025,4
15/04/2025,4
13/03/2025,4
17/12/2024,4
09/01/2025,4
02/08/2025,3
13/09/2025,3
18/09/2025,3
18/10/2025,3
02/10/2025,3
28/12/2024,3
12/08/2025,3
24/06/2025,3
07/06/2025,3
09/07/2024,3
13/08/2024,3
20/07/2024,3
16/07/2024,3
03/08/2024,3
14/11/2024,3
19/11/2024,3
27/06/2024,3
05/06/2024,3
11/06/2024,3
22/06/2024,3
26/10/2024,3
29/10/2024,3
05/11/2024,3
03/07/2025,3
22/07/2025,3
28/10/2025,3
29/11/2025,3
31/07/2025,3
09/10/2025,3
20/09/2025,3
28/08/2025,3
22/10/2024,3
03/09/2024,3
03/10/2024,3
10/10/2024,3
28/11/2024,2
28/05/2024,2
18/06/2024,2
19/10/2024,2
28/07/2024,2
03/12/2024,2
15/05/2025,2
03/05/2025,2
18/11/2025,2
21/10/2025,2
25/10/2025,2
09/09/2025,2
29/07/2025,2
19/07/2025,2
10/07/2025,2
01/11/2025,2
06/11/2025,2
27/11/2025,2
23/09/2025,2
23/11/2024,2
31/10/2024,2
10/12/2024,2
31/08/2024,2
08/10/2024,2
01/10/2024,2
23/07/2024,2
04/07/2024,2
06/08/2024,2
22/04/2025,2
08/04/2025,2
11/01/2025,2
01/02/2025,2
01/03/2025,2
19/12/2024,2
11/03/2025,2
01/04/2025,2
06/04/2025,2
27/02/2025,2
12/12/2024,1
02/11/2024,1
15/10/2024,1
18/07/2024,1
31/07/2024,1
20/08/2024,1
24/09/2024,1
26/09/2024,1
13/07/2024,1
11/07/2024,1
25/06/2024,1
02/07/2024,1
22/05/2024,1
01/07/2025,1
05/07/2025,1
24/07/2025,1
09/08/2025,1
07/08/2025,1
26/07/2025,1
07/10/2025,1
26/08/2025,1
23/08/2025,1
30/08/2025,1
02/09/2025,1
19/08/2025,1
27/09/2025,1
12/09/2025,1
21/08/2025,1
30/10/2025,1
04/11/2025,1
08/11/2025,1
25/11/2025,1
