Data de Inclusão,Area,Empresa,Cidade,Titulo da Vaga,Link,Tipo de Vaga,Redes Sociais,Plataforma
18/05/2024,Front,smartnx,Remoto,Estagiário(a) Front-end,Página da Vaga | Estagiário(a) Front-end ✨🚀 (gupy.io),Estágio,,Gupy
18/05/2024,Front,Gertec,São Paulo,Pessoa estagiária em Plataformas Digitais - Front-end,Página da Vaga | Pessoa estagiária em Plataformas Digitais - Front-end (gupy.io),Estágio,,Gupy
18/05/2024,Front,B4A,São Paulo,Estágio em TI (Front-End) - Presencial,https://b4a.gupy.io/job/eyJqb2JJZCI6NzA4MjgyNiwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=share_link,Estágio,,Gupy
18/05/2024,Front,Class Solutions,São Paulo,Estágio - Desenvolvimento WEB Front-End,Página da Vaga | Estágio - Desenvolvimento WEB Front-End (gupy.io),Estágio,,Gupy
18/05/2024,Front,Engbras,Barueri,Estágio em Programação - Front-end,Página da Vaga | Estágio em Programação - Front-end (gupy.io),Estágio,,Gupy
18/05/2024,Dados,MUTANT,São Paulo,Estágio em People Analytics - Intervalor,https://programadeestagio2024cla.gupy.io/job/eyJqb2JJZCI6NzE4MTQ5MSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=share_link,Estágio,,Gupy
18/05/2024,Dados,Pluxee,São Paulo,Estágio Compliance | Data Analytics,https://pluxee-br.gupy.io/job/eyJqb2JJZCI6NzEzMjY5Mywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=share_link,Estágio,,Gupy
18/05/2024,Dados,LIVELO,Barueri,LIVELO: Recém-graduadas para área de Analytics,https://prig.gupy.io/job/eyJqb2JJZCI6NzEyNTYxNywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=share_link,Estágio,,Gupy
18/05/2024,Dados,Tania Bulhões,São Paulo,Estágio em Dados & People Analytics,https://tania-bulhoes.gupy.io/job/eyJqb2JJZCI6NzEwMDM1NSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=share_link,Estágio,,Gupy
18/05/2024,Dados,MOTTU,São Paulo,Estagiário em Data Analytics,https://vagasmottu.gupy.io/job/eyJqb2JJZCI6NTI5NTU4OSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=share_link,Estágio,,Gupy
18/05/2024,QA,Red Cerberus,São Paulo,Estagio - Analista de Testes,Estagio – Analista de Testes – Red Cerberus,Estágio,,Site-proprio
18/05/2024,UX/UI,MUTANT,São Paulo,Estágio em UX Designer - Intervalor,Página da Vaga | Estágio em UX Designer - Intervalor (gupy.io),Estágio,,Gupy
18/05/2024,UX/UI,SKEPS DIGITAL LTDA,Não-informado,Estagiário(a) de UX Writer,Vaga Estagiário(a) de UX Writer • Jobs (solides.com.br),Estágio,,Solides
20/05/2024,Dados,Birdie,Não-informado,Business Analytics Intern,Business Analytics Intern (google.com),Estágio,,Site-proprio
20/05/2024,QA,letrus,Remoto,Pessoa Estagiária Engenheira de Qualidade | Afirmativa para Mulheres Pretas,Letrus (inhire.app),Estágio,,Site-proprio
20/05/2024,Dados,Neogrid,Remoto,Estágio em Data Quality,Página da Vaga | Estágio em Data Quality (gupy.io),Estágio,,Gupy
20/05/2024,Mobile,Positivo,Remoto,Estágio em Desenvolvimento de App,Página da Vaga | Estágio em Desenvolvimento de App (gupy.io),Estágio,,Gupy
20/05/2024,Dados,Amorim,São Paulo,Estagiário em Ciência de Dados - Data Science Intern,Vaga Estagiário em Ciência de Dados - Data Science Intern • Jobs (solides.com.br),Estágio,,Solides
20/05/2024,Dados,PRINCIPIA EDUCACAO TECNOLOGIA E SERVICOS LTDA,São Paulo,Estagiário de dados,Vaga Estagiário de dados • Jobs (solides.com.br),Estágio,,Solides
20/05/2024,Dados,Bulk Consulting,São Paulo,Estagiaria - Engenharia de Dados,Vaga Estagiaria - Engenharia de Dados • Jobs (solides.com.br),Estágio,,Solides
20/05/2024,Programa de Estágio,Itaú,São Paulo,Estágio,Página da Vaga | Estágio (gupy.io),Estágio,,Gupy
20/05/2024,Programa de Estágio,Santander,São Paulo,BANCO SANTANDER - PROGRAMA DE ESTÁGIO 2024,Vaga de Banco Santander - Programa de Estágio 2024 - Diversas Áreas (taqe.com.br),Estágio,,Ciee
20/05/2024,Programa de Estágio,B3,São Paulo,Programa de Estágio B3 - 2024,Vaga Programa de Estágio B3 - 2024 - B3 2626786 | Vagas.com,Estágio,,Vagas.com
20/05/2024,Suporte,CSN CIMENTOS,São Paulo,Estágio TI,Vaga Estágio TI - CSN CIMENTOS 2634027 | Vagas.com,Estágio,,Vagas.com
20/05/2024,Back,Safra,São Paulo,Estágio Tecnologia,Página da Vaga | Estágio Tecnologia (gupy.io),Estágio,,Gupy
20/05/2024,Dados,Banco ABC,São Paulo,Estágio - Data Science,https://abcbrasil.gupy.io/jobs/7152292?jobBoardSource=share_link,Estágio,,Gupy
20/05/2024,Programa de Estágio,Banco ABC,São Paulo,Programa de Estágio de Férias - Learn By Doing,https://abcbrasil.gupy.io/jobs/6957808?jobBoardSource=share_link,Estágio,,Gupy
20/05/2024,Back,BTG,São Paulo,Estágio em Marketing Cloud,Estágio em Marketing Cloud - TECH - DEVELOPMENT | BTG Pactual,Estágio,,Site-proprio
22/05/2024,Programa de Estágio,nuclea,São Paulo,Programa de Trainee Núclea 2024,Globe | Programa de Trainee Núclea 2024 (ciadetalentos.com.br),Estágio,,Ciadetalentos
22/05/2024,Programa de Estágio,Dn’A Women,São Paulo,Programa Dn'A Women 2024,Globe | Programa Dn'A Women 2024 (ciadetalentos.com.br),Estágio,,Ciadetalentos
22/05/2024,Programa de Estágio,pwc,Barueri,Nova Geração de Solvers PwC - Auditoria e Asseguração 2024,Nova geração de solvers (pwc.com.br),Estágio,,Ciadetalentos
22/05/2024,Programa de Estágio,Globo,São Paulo,Programa Estagiar Globo 2024,Globe | Programa Estagiar Globo 2024 (ciadetalentos.com.br),Estágio,,Ciadetalentos
22/05/2024,Fullstack,Gertec,São Paulo,Pessoa estagiária em Desenvolvimento- Plataformas Digitais,https://gertec.gupy.io/job/eyJqb2JJZCI6NzA2NTI5NSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=share_link,Estágio,,Gupy
22/05/2024,Suporte,GOCACHE,São Paulo,Estágio Suporte Técnico,Vaga Estágio Suporte Técnico • Jobs (solides.com.br),Estágio,,Solides
22/05/2024,Dados,HONEST MARKET,São Paulo,Estágio em Planejamento,Vaga Estágio em Planejamento • Jobs (solides.com.br),Estágio,,Solides
22/05/2024,Back,HUMAN CONCIERGE,São Paulo,ESTAGIO EM DESENVOLVIMENTO,Vaga ESTAGIO EM DESENVOLVIMENTO • Jobs (solides.com.br),Estágio,,Solides
22/05/2024,Back,Robbu,São Paulo,Estágio em TI,Vaga Estágio em TI • Jobs (solides.com.br),Estágio,,Solides
24/05/2024,Fullstack,método engenharia,São Paulo,Estágio em Desenvolvimento,Página da Vaga | Estágio em Desenvolvimento (gupy.io),Estágio,,Gupy
24/05/2024,Back,gruponexxees,Remoto,Estagiário de Desenvolvimento,https://gruponexxees.gupy.io/job/eyJqb2JJZCI6NzEzMTA4MCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=share_link,Estágio,,Gupy
24/05/2024,Front,Grupo Safira,Barueri,Estagiário de Desenvolvimento,Página da Vaga | Estagiário de Desenvolvimento (gupy.io),Estágio,,Gupy
24/05/2024,Dados,Pluxee,São Paulo,Estágio Compliance | Data Analytics,Página da Vaga | Estágio Compliance | Data Analytics (gupy.io),Estágio,,Gupy
24/05/2024,Suporte,Norte Marketing,São Paulo,Estagiário de Suporte Técnico TI,Página da Vaga | Estagiário de Suporte Técnico TI (gupy.io),Estágio,,Gupy
24/05/2024,Suporte,credsystem,Barueri,Estágio - Suporte Técnico - TI,Página da Vaga | Estágio - Suporte Técnico - TI (gupy.io),Estágio,,Gupy
24/05/2024,Suporte,alest,São Paulo,Estágio em Suporte,Página da Vaga | Estágio em Suporte (gupy.io),Estágio,,Gupy
24/05/2024,Suporte,Class Solutions,São Paulo,Estágio - Tecnologia da Informação - Suporte Técnico,Página da Vaga | Estágio - Tecnologia da Informação - Suporte Técnico (gupy.io),Estágio,,Gupy
24/05/2024,Suporte,Hyperativa,São Paulo,Estagiário em Suporte e Infraestrutura,Página da Vaga | Estagiário em Suporte e Infraestrutura (gupy.io),Estágio,,Gupy
24/05/2024,Suporte,Ploomes,São Paulo,Estágio em Suporte,Página da Vaga | Estágio em Suporte (gupy.io),Estágio,,Gupy
24/05/2024,Dados,pragma,São Paulo,Programa de Estágio - Gestão de Dados,Página da Vaga | Programa de Estágio - Gestão de Dados (gupy.io),Estágio,,Gupy
24/05/2024,Programa de Estágio,Itaú,São Paulo,PROGRAMA DE ESTÁGIO ITAÚ CULTURAL,Página da Vaga | PROGRAMA DE ESTÁGIO ITAÚ CULTURAL (gupy.io),Estágio,,Gupy
24/05/2024,QA,KOGNIT,São Paulo,Estagiário(a) em QA/Testes (TI),Vaga Estagiário(a) em QA/Testes (TI) • Jobs (solides.com.br),Estágio,,Solides
24/05/2024,Dados,instacarro,São Paulo,Estágio em BI,InstaCarro - Estágio em BI (recruitee.com),Estágio,,Site-proprio
24/05/2024,Dados,MetLife,São Paulo,Estágio em Bi (Comercial),Vaga Estágio em Bi (Comercial) - São Paulo - MetLife 2636561 | Vagas.com,Estágio,,Vagas.com
24/05/2024,Back,ENGECORPS,Barueri,Estagiário Programador,Vaga Estagiário Programador - ENGECORPS 2641391 | Vagas.com,Estágio,,Vagas.com
